protocol,method,tau,fold,source_file,BA,MacroF1,MacroAUC
A,ELR,0.4,6,results/main_experiment/scratch_adam/training/elr/tau_40/fold_06/test_metrics.json,0.42157738263176286,0.13192393296091784,0.7662033801854297
A,ELR,0.4,7,results/main_experiment/scratch_adam/training/elr/tau_40/fold_07/test_metrics.json,0.44639487555464363,0.12042993025034901,0.7906179171379369
A,ELR,0.4,8,results/main_experiment/scratch_adam/training/elr/tau_40/fold_08/test_metrics.json,0.46512705580275354,0.12176242070803643,0.7982272182415636
A,ELR,0.4,9,results/main_experiment/scratch_adam/training/elr/tau_40/fold_09/test_metrics.json,0.41565061693352096,0.12289931465139052,0.7753830159420785
A,ELR,0.5,0,results/main_experiment/scratch_adam/training/elr/tau_50/fold_00/test_metrics.json,0.4586498753311516,0.09568779840888685,0.7963300006951529
A,ELR,0.5,1,results/main_experiment/scratch_adam/training/elr/tau_50/fold_01/test_metrics.json,0.3793863676840535,0.11194341629644151,0.7388738009680724
A,ELR,0.5,2,results/main_experiment/scratch_adam/training/elr/tau_50/fold_02/test_metrics.json,0.48113458482122073,0.1390836867372959,0.8080635227800427
A,ELR,0.5,3,results/main_experiment/scratch_adam/training/elr/tau_50/fold_03/test_metrics.json,0.3993913815074096,0.13002328201308358,0.7784648530811559
A,ELR,0.5,4,results/main_experiment/scratch_adam/training/elr/tau_50/fold_04/test_metrics.json,0.31837129654317586,0.09587828675086045,0.7289162753107258
A,ELR,0.5,5,results/main_experiment/scratch_adam/training/elr/tau_50/fold_05/test_metrics.json,0.46571025737140287,0.13374086045544603,0.7825333633182979
A,ELR,0.5,6,results/main_experiment/scratch_adam/training/elr/tau_50/fold_06/test_metrics.json,0.43346102717878043,0.12558883657366735,0.7513623610688055
A,ELR,0.5,7,results/main_experiment/scratch_adam/training/elr/tau_50/fold_07/test_metrics.json,0.44541769113493385,0.11173280578032664,0.791767483458619
A,ELR,0.5,8,results/main_experiment/scratch_adam/training/elr/tau_50/fold_08/test_metrics.json,0.4622438414036095,0.11622795641007609,0.8115453061129837
A,ELR,0.5,9,results/main_experiment/scratch_adam/training/elr/tau_50/fold_09/test_metrics.json,0.35131445337290934,0.09124591744518531,0.7673624577010173
A,SCE,0.0,0,results/main_experiment/scratch_adam/training/sce/tau_00/fold_00/test_metrics.json,0.6773776773340915,0.5508808593371377,0.9520907561517395
A,SCE,0.0,1,results/main_experiment/scratch_adam/training/sce/tau_00/fold_01/test_metrics.json,0.7293115991923685,0.5565576106029326,0.9290384607898959
A,SCE,0.0,2,results/main_experiment/scratch_adam/training/sce/tau_00/fold_02/test_metrics.json,0.7195088781334598,0.6184557521655207,0.9362437154025829
A,SCE,0.0,3,results/main_experiment/scratch_adam/training/sce/tau_00/fold_03/test_metrics.json,0.5963416134585884,0.5148851517890337,0.9326549226605356
A,SCE,0.0,4,results/main_experiment/scratch_adam/training/sce/tau_00/fold_04/test_metrics.json,0.671478673920534,0.5664284457342614,0.9302080495282973
A,SCE,0.0,5,results/main_experiment/scratch_adam/training/sce/tau_00/fold_05/test_metrics.json,0.7059707176226432,0.5731123978319201,0.9443168877928839
A,SCE,0.0,6,results/main_experiment/scratch_adam/training/sce/tau_00/fold_06/test_metrics.json,0.6855027363242916,0.5457974979535638,0.9255923938775595
A,SCE,0.0,7,results/main_experiment/scratch_adam/training/sce/tau_00/fold_07/test_metrics.json,0.7530553836790962,0.6037539322492452,0.9456263318572066
A,SCE,0.0,8,results/main_experiment/scratch_adam/training/sce/tau_00/fold_08/test_metrics.json,0.7476455831786806,0.5795884466561557,0.9479817149374178
A,SCE,0.0,9,results/main_experiment/scratch_adam/training/sce/tau_00/fold_09/test_metrics.json,0.7090509371297725,0.5867865088896158,0.9450038169515899
A,SCE,0.1,0,results/main_experiment/scratch_adam/training/sce/tau_10/fold_00/test_metrics.json,0.6108924025867222,0.31991209803111775,0.8886412935347334
A,SCE,0.1,1,results/main_experiment/scratch_adam/training/sce/tau_10/fold_01/test_metrics.json,0.5688264767421366,0.3516969427840596,0.862203873693235
A,SCE,0.1,2,results/main_experiment/scratch_adam/training/sce/tau_10/fold_02/test_metrics.json,0.710384055798334,0.43010777713693715,0.9004562511731125
A,SCE,0.1,3,results/main_experiment/scratch_adam/training/sce/tau_10/fold_03/test_metrics.json,0.5847553378801406,0.3770277320875953,0.8615372264816719
A,SCE,0.1,4,results/main_experiment/scratch_adam/training/sce/tau_10/fold_04/test_metrics.json,0.5823666379851546,0.3476924277696952,0.8593460728555742
A,SCE,0.1,5,results/main_experiment/scratch_adam/training/sce/tau_10/fold_05/test_metrics.json,0.6503435711347748,0.3677216792424166,0.8973829991432304
A,SCE,0.1,6,results/main_experiment/scratch_adam/training/sce/tau_10/fold_06/test_metrics.json,0.69081491328354,0.3781141265095928,0.8886416640378708
A,SCE,0.1,7,results/main_experiment/scratch_adam/training/sce/tau_10/fold_07/test_metrics.json,0.6245707369783817,0.37874767890340416,0.8750677106661584
A,SCE,0.1,8,results/main_experiment/scratch_adam/training/sce/tau_10/fold_08/test_metrics.json,0.6301755533305762,0.3587283413687362,0.8908642454076208
A,SCE,0.1,9,results/main_experiment/scratch_adam/training/sce/tau_10/fold_09/test_metrics.json,0.5983720278035175,0.3443739527051214,0.8448099865109303
A,SCE,0.2,0,results/main_experiment/scratch_adam/training/sce/tau_20/fold_00/test_metrics.json,0.6425373384147328,0.32787465319328607,0.8865624349657969
A,SCE,0.2,1,results/main_experiment/scratch_adam/training/sce/tau_20/fold_01/test_metrics.json,0.5667722284173948,0.30810879403918684,0.8400722098785448
A,SCE,0.2,2,results/main_experiment/scratch_adam/training/sce/tau_20/fold_02/test_metrics.json,0.6211911243285554,0.33168502340723904,0.8844856777857659
A,SCE,0.2,3,results/main_experiment/scratch_adam/training/sce/tau_20/fold_03/test_metrics.json,0.5625454465900145,0.31980363081034036,0.8466843595201833
A,SCE,0.2,4,results/main_experiment/scratch_adam/training/sce/tau_20/fold_04/test_metrics.json,0.553688524137297,0.29948975842262787,0.8376237858928247
A,SCE,0.2,5,results/main_experiment/scratch_adam/training/sce/tau_20/fold_05/test_metrics.json,0.6437329542985163,0.3414878256688775,0.8819001384863087
A,SCE,0.2,6,results/main_experiment/scratch_adam/training/sce/tau_20/fold_06/test_metrics.json,0.568034803418305,0.31068847964651425,0.8485250940871671
A,SCE,0.2,7,results/main_experiment/scratch_adam/training/sce/tau_20/fold_07/test_metrics.json,0.6263438941249141,0.31373202264285965,0.8674859095377372
A,SCE,0.2,8,results/main_experiment/scratch_adam/training/sce/tau_20/fold_08/test_metrics.json,0.631035716672659,0.2881944829307573,0.8746693573304745
A,SCE,0.2,9,results/main_experiment/scratch_adam/training/sce/tau_20/fold_09/test_metrics.json,0.5551612033998115,0.3067298925205847,0.833237834244764
A,SCE,0.3,0,results/main_experiment/scratch_adam/training/sce/tau_30/fold_00/test_metrics.json,0.5853396248799287,0.2460978547366056,0.8477040587605489
A,SCE,0.3,1,results/main_experiment/scratch_adam/training/sce/tau_30/fold_01/test_metrics.json,0.505563697393036,0.22368300729450957,0.8032645803579616
A,SCE,0.3,2,results/main_experiment/scratch_adam/training/sce/tau_30/fold_02/test_metrics.json,0.5895434917552178,0.2644326018837986,0.8558196436985129
A,SCE,0.3,3,results/main_experiment/scratch_adam/training/sce/tau_30/fold_03/test_metrics.json,0.5562629505530837,0.2682470528730008,0.8314995611451655
A,SCE,0.3,4,results/main_experiment/scratch_adam/training/sce/tau_30/fold_04/test_metrics.json,0.5554383225697003,0.27566534654116814,0.8410320470567595
A,SCE,0.3,5,results/main_experiment/scratch_adam/training/sce/tau_30/fold_05/test_metrics.json,0.5697084964713879,0.2755251821157455,0.8433786871903513
A,SCE,0.3,6,results/main_experiment/scratch_adam/training/sce/tau_30/fold_06/test_metrics.json,0.5504982831283894,0.26703232335277,0.797216315599224
A,SCE,0.3,7,results/main_experiment/scratch_adam/training/sce/tau_30/fold_07/test_metrics.json,0.5855595964311143,0.248620997474772,0.8569736462401532
A,SCE,0.3,8,results/main_experiment/scratch_adam/training/sce/tau_30/fold_08/test_metrics.json,0.5718719232276287,0.2660208629423807,0.8585907704553568
