protocol,metric,method,tau,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
S,MacroAUC,ELR,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.017824796988394575,-0.02830977478421762,-0.006560368348434617,5.0,0.01953125,0.015625,-0.8181818181818181,-1,10000,True,0.078125,0.0625,n.s.,n.s.,True,,0.01953125,0.078125,-0.017824796988394575
S,MacroAUC,ELR,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.010460970591592667,-0.018416807283011257,-0.0018778871441367541,9.0,0.064453125,0.048828125,-0.6727272727272727,-1,10000,True,0.193359375,0.12890625,n.s.,n.s.,True,,0.064453125,0.193359375,-0.010460970591592667
S,MacroAUC,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.03330939354179663,-0.042231668578229964,-0.02364649411680066,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.03330939354179663
S,MacroAUC,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.014026136012443468,-0.03052389984160222,0.001278960608799091,15.0,0.232421875,0.142578125,-0.4545454545454546,-1,10000,True,0.48046875,0.421875,n.s.,n.s.,True,,0.232421875,0.48046875,-0.014026136012443468
S,MacroAUC,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.00878868926848848,-0.025272285090784264,0.00698395158642631,20.0,0.4921875,0.345703125,-0.2727272727272727,-1,10000,True,0.4921875,0.421875,n.s.,n.s.,True,,0.4921875,0.4921875,-0.00878868926848848
S,MacroAUC,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.014114112165154236,-0.030067793442040035,0.002001506214811865,13.0,0.16015625,0.140625,-0.5272727272727273,-1,10000,True,0.48046875,0.421875,n.s.,n.s.,True,,0.16015625,0.48046875,-0.014114112165154236
S,MacroAUC,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.021085421027170127,-0.039031128066465554,-0.0005374103774031621,10.0,0.083984375,0.080078125,-0.6363636363636364,-1,10000,True,0.3359375,0.3203125,n.s.,n.s.,True,,0.083984375,0.3359375,-0.021085421027170127
S,MacroAUC,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.02477120544014986,-0.03486246293903892,-0.013214526142364135,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.029296875,0.029296875,-*,-*,True,,0.005859375,0.029296875,-0.02477120544014986
SP,BA,SCE,0.0,"0,1,2,3,4,5,6,7,8,9",10,0.023820041996532627,0.0009654520449983346,0.04352233268647839,9.0,0.064453125,0.0546875,0.6727272727272727,1,10000,True,0.07421875,0.0546875,n.s.,n.s.,True,,0.064453125,0.07421875,0.023820041996532627
SP,BA,SCE,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.08896082869799794,0.0732010091404385,0.10564828546307105,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08896082869799794
