protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
AP,MacroF1,ELR,0.5,0.16141171143476665,0.16962671828397935,-0.008215006849212697,-4.842991087913169
AP,MacroF1,AsyCo,0.0,0.4349320817240915,0.567743227940075,-0.13281114621598356,-23.392819091450562
AP,MacroF1,AsyCo,0.1,0.28733950951309783,0.2552552645507892,0.03208424496230866,12.569474333378432
AP,MacroF1,AsyCo,0.2,0.2579827069428784,0.2372219341531466,0.02076077278973179,8.751624449840703
AP,MacroF1,AsyCo,0.3,0.2252607079770204,0.20574516630436154,0.01951554167265887,9.485297770635968
AP,MacroF1,AsyCo,0.4,0.20789323714467275,0.18837490138086144,0.019518335763811318,10.361431178322755
AP,MacroF1,AsyCo,0.5,0.19198584090195445,0.16962671828397935,0.022359122617975097,13.18136838593006
AP,MacroAUC,SCE,0.0,0.9590258108054097,0.9450886730450201,0.013937137760389628,1.4746910166095835
AP,MacroAUC,SCE,0.1,0.9077671929164497,0.8759734086972418,0.031793784219207866,3.6295375982350837
AP,MacroAUC,SCE,0.2,0.8902631629922799,0.862605250607146,0.02765791238513393,3.2063232128098997
AP,MacroAUC,SCE,0.3,0.8650209675987002,0.8330279580414656,0.03199300955723461,3.8405685245491
AP,MacroAUC,SCE,0.4,0.8356316313843329,0.8222721897409428,0.013359441643390091,1.6246982215948453
AP,MacroAUC,SCE,0.5,0.8190383460075473,0.7999700535518743,0.019068292455672986,2.383625783366464
AP,MacroAUC,ELR,0.0,0.8970343346867173,0.9450886730450201,-0.04805433835830275,-5.084638058720405
AP,MacroAUC,ELR,0.1,0.8573021591156527,0.8759734086972418,-0.018671249581589167,-2.131485887152359
AP,MacroAUC,ELR,0.2,0.8464256729447657,0.862605250607146,-0.016179577662380318,-1.875664175588115
AP,MacroAUC,ELR,0.3,0.8242809426849595,0.8330279580414656,-0.008747015356506016,-1.0500266254053645
AP,MacroAUC,ELR,0.4,0.8029699617098018,0.8222721897409428,-0.01930222803114101,-2.347425617935855
AP,MacroAUC,ELR,0.5,0.7827412936345478,0.7999700535518743,-0.01722875991732653,-2.1536756083344217
AP,MacroAUC,AsyCo,0.0,0.9153661837100918,0.9450886730450201,-0.02972248933492827,-3.1449418644669773
AP,MacroAUC,AsyCo,0.1,0.8608160050511323,0.8759734086972418,-0.015157403646109513,-1.7303497452795726
AP,MacroAUC,AsyCo,0.2,0.8531689895223108,0.862605250607146,-0.009436261084835196,-1.0939257647914233
AP,MacroAUC,AsyCo,0.3,0.8484096635680165,0.8330279580414656,0.015381705526550937,1.8464813069077428
AP,MacroAUC,AsyCo,0.4,0.8396838860475265,0.8222721897409428,0.01741169630658368,2.1175100561371583
AP,MacroAUC,AsyCo,0.5,0.8248361489283262,0.7999700535518743,0.024866095376451902,3.1083782781675655
