method,dataset,init,optim,tau,fold,balanced_accuracy,macro_f1,weighted_f1,macro_auc,n_samples,nta,lnmr,n_flipped,n_train,empirical_flip_rate,per_class_f1_akiec,per_class_f1_bcc,per_class_f1_bkl,per_class_f1_df,per_class_f1_mel,per_class_f1_nv,per_class_f1_vasc
baseline,imbalanced,scratch,sgd,0.1,0,0.5766977782230237,0.18947502059471008,0.06944260776305235,0.8595006552456163,747,0.11098130841121495,0.4158878504672897,856,6723,0.12732411125985424,0.24358974358974358,0.4369747899159664,0.21311475409836064,0.08695652173913043,0.24786324786324787,0.0,0.09782608695652174
baseline,imbalanced,scratch,sgd,0.1,1,0.562125715176206,0.19641615002854468,0.07698928096102273,0.8279060697784779,747,0.11854460093896714,0.45422535211267606,852,6723,0.12672913877733155,0.21897810218978103,0.36363636363636365,0.366412213740458,0.13592233009708737,0.20300751879699247,0.0,0.08695652173913043
baseline,imbalanced,scratch,sgd,0.1,2,0.6011693631509301,0.23162559623358098,0.08977789043979738,0.8655024962376032,747,0.10841983852364476,0.5098039215686274,867,6723,0.12896028558679162,0.24285714285714285,0.46808510638297873,0.4342857142857143,0.17142857142857143,0.20689655172413793,0.0,0.09782608695652174
baseline,imbalanced,scratch,sgd,0.1,3,0.5292573848725607,0.21247147999999852,0.08851053869242256,0.8272048421295602,747,0.1204250295159386,0.4899645808736718,847,6723,0.12598542317417818,0.2903225806451613,0.375,0.4148148148148148,0.05555555555555555,0.2532467532467532,0.0,0.09836065573770492
baseline,imbalanced,scratch,sgd,0.1,4,0.5594136049337581,0.21732907799192813,0.08853038222682762,0.8461523762148337,747,0.10609756097560975,0.47804878048780486,820,6723,0.12196935891715008,0.25,0.4444444444444444,0.37349397590361444,0.09523809523809523,0.27848101265822783,0.0,0.07964601769911504
baseline,imbalanced,scratch,sgd,0.1,5,0.5615255743540396,0.20066178149869743,0.07960070541888205,0.8490543990179704,747,0.10570071258907364,0.48812351543942994,842,6723,0.12524170757102485,0.2857142857142857,0.3389830508474576,0.3586206896551724,0.0625,0.18705035971223022,0.0036968576709796672,0.16806722689075632
baseline,imbalanced,scratch,sgd,0.1,6,0.5223890476040258,0.18826090579749893,0.0728772724882353,0.8321723110535653,747,0.11123853211009174,0.4644495412844037,872,6723,0.12970400118994496,0.2585034013605442,0.4,0.2558139534883721,0.09195402298850575,0.21374045801526717,0.0036968576709796672,0.09411764705882353
baseline,imbalanced,scratch,sgd,0.1,7,0.5762315113785893,0.2159240981954682,0.08772708725771987,0.8387173812588954,747,0.1125,0.46136363636363636,880,6723,0.13089394615499034,0.27586206896551724,0.40625,0.4489795918367347,0.09259259259259259,0.18587360594795538,0.0,0.10191082802547771
baseline,imbalanced,scratch,sgd,0.1,8,0.5178510815337408,0.1946265133346095,0.08099347680329123,0.8374873023280252,747,0.11373873873873874,0.4403153153153153,888,6723,0.13208389112003568,0.21428571428571427,0.3838383838383838,0.35802469135802467,0.0736196319018405,0.2535211267605634,0.0,0.07909604519774012
baseline,imbalanced,scratch,sgd,0.1,9,0.5452682468236223,0.20312848695505625,0.0820090687704218,0.8293512259005226,747,0.09218203033838973,0.4574095682613769,857,6723,0.1274728543804849,0.1978021978021978,0.42857142857142855,0.3597122302158273,0.08053691275167785,0.2459016393442623,0.0,0.109375
baseline,imbalanced,scratch,sgd,0.2,0,0.5376441483559296,0.17568410964661482,0.06728362893315443,0.8482314075138311,747,0.10696338837042355,0.41995692749461594,1393,6723,0.20719916703852448,0.2112676056338028,0.3384615384615385,0.256,0.096,0.23430962343096234,0.0,0.09375
baseline,imbalanced,scratch,sgd,0.2,1,0.480283259867762,0.1599304455044848,0.061230422097148914,0.8054981079690944,747,0.10503597122302158,0.42949640287769786,1390,6723,0.20675293767663244,0.1927710843373494,0.33962264150943394,0.25396825396825395,0.064,0.17391304347826086,0.0,0.09523809523809523
