protocol,metric,tau,rank,method,mean,lo,hi,n,gap_to_next
A,MacroAUC,0.4,2,AsyCo,0.8059448757266677,0.7950941092371436,0.8176976086145589,10,0.008129559292633037
A,MacroAUC,0.4,3,baseline,0.7978153164340347,0.7848184892400585,0.8110670569544131,10,0.012705133090823217
A,MacroAUC,0.4,4,ELR,0.7851101833432115,0.7761306192094007,0.7950153719583833,10,
A,MacroAUC,0.5,1,SCE,0.7979844305458621,0.7838282096235448,0.8111006310111785,10,0.00781453496907314
A,MacroAUC,0.5,2,baseline,0.790169895576789,0.7758563552248586,0.8040595710395788,10,0.014647953127301716
A,MacroAUC,0.5,3,ELR,0.7755219424494872,0.7587410744378879,0.791657224616747,10,0.00010275250416502679
A,MacroAUC,0.5,4,AsyCo,0.7754191899453222,0.7619873590673539,0.7887223465291288,10,
AP,BA,0.0,1,SCE,0.7544293344630347,0.731142327997955,0.777401606500445,10,0.004998038439617436
AP,BA,0.0,2,baseline,0.7494312960234173,0.7325454702128682,0.7661431921086319,10,0.07762413314170957
AP,BA,0.0,3,ELR,0.6718071628817077,0.6461872366014136,0.6957975461892966,10,0.01246272246451785
AP,BA,0.0,4,AsyCo,0.6593444404171899,0.6240882089551859,0.6878736406686192,10,
AP,BA,0.1,1,SCE,0.7121463243029715,0.687945996356808,0.7361354670300387,10,0.09916919855185635
AP,BA,0.1,2,ELR,0.6129771257511152,0.5915945215109993,0.6342834602040609,10,0.003540536079262191
AP,BA,0.1,3,baseline,0.609436589671853,0.5913356451388947,0.6286572303713649,10,0.02287408062494456
AP,BA,0.1,4,AsyCo,0.5865625090469084,0.5513572281586,0.6143950107970216,10,
AP,BA,0.2,1,SCE,0.6682637986711761,0.6396649262150866,0.695607305065609,10,0.05787868914304939
AP,BA,0.2,2,ELR,0.6103851095281267,0.5873034231747754,0.6324125188857678,10,0.00799493557716513
AP,BA,0.2,3,baseline,0.6023901739509616,0.5792653018742677,0.6228112847295969,10,0.03940881688169229
AP,BA,0.2,4,AsyCo,0.5629813570692693,0.5345989907329329,0.5914464285453113,10,
AP,BA,0.3,1,SCE,0.6105454415874412,0.5930663890306312,0.6265012175918818,10,0.05057278973081114
AP,BA,0.3,2,ELR,0.55997265185663,0.5362008667815296,0.5828619912442198,10,0.01704651309234162
AP,BA,0.3,3,baseline,0.5429261387642884,0.5190348424164353,0.5676665802952072,10,0.0037246954716240177
AP,BA,0.3,4,AsyCo,0.5392014432926644,0.5247205953903824,0.5552245026922974,10,
AP,BA,0.4,1,SCE,0.5751492869566317,0.5535232671013262,0.59409336151557,10,0.04208837936979859
AP,BA,0.4,2,AsyCo,0.5330609075868331,0.5145675494248414,0.5534417032475487,10,0.009787334583419183
AP,BA,0.4,3,baseline,0.5232735730034139,0.5078531884972535,0.5378577836553987,10,0.0029328634503831275
AP,BA,0.4,4,ELR,0.5203407095530308,0.504064434177095,0.5368519830838269,10,
AP,BA,0.5,1,SCE,0.5428419666486621,0.520177479201907,0.5623982158736662,10,0.031253712934158795
AP,BA,0.5,2,AsyCo,0.5115882537145033,0.49358397585804026,0.5341906668716061,10,0.020449633200124162
AP,BA,0.5,3,ELR,0.4911386205143792,0.4633213896247709,0.5187471972789474,10,0.008764775714956485
AP,BA,0.5,4,baseline,0.4823738447994227,0.4567685373091075,0.5097620593520065,10,
AP,MacroF1,0.0,1,SCE,0.6716846331032109,0.6554236005675641,0.6895678039273614,10,0.10394140516313588
AP,MacroF1,0.0,2,baseline,0.567743227940075,0.5463715201132574,0.5888997963270592,10,0.13281114621598356
AP,MacroF1,0.0,3,AsyCo,0.4349320817240915,0.41696284713265275,0.4513884130111618,10,0.01791449954111246
AP,MacroF1,0.0,4,ELR,0.417017582182979,0.39248160577223273,0.4488746938148994,10,
AP,MacroF1,0.1,1,SCE,0.5014724883731895,0.48587988858002285,0.5177429603543173,10,0.21413297886009164
AP,MacroF1,0.1,2,AsyCo,0.28733950951309783,0.2730293899092112,0.2989268960936526,10,0.03208424496230866
AP,MacroF1,0.1,3,baseline,0.2552552645507892,0.2454806090404797,0.2662511305589565,10,0.0054715766042353065
AP,MacroF1,0.1,4,ELR,0.24978368794655387,0.24081202224183276,0.2581342965882725,10,
AP,MacroF1,0.2,1,SCE,0.4157512302872563,0.40276235416029726,0.4306249853956197,10,0.1577685233443779
AP,MacroF1,0.2,2,AsyCo,0.2579827069428784,0.24492238065300345,0.2716831737178929,10,0.01632123915617356
AP,MacroF1,0.2,3,ELR,0.24166146778670483,0.23207877869056207,0.25094030104343523,10,0.004439533633558229
AP,MacroF1,0.2,4,baseline,0.2372219341531466,0.22671755133173432,0.2475664691880487,10,
AP,MacroF1,0.3,1,SCE,0.34503362116151803,0.3338577621109103,0.35512375107226984,10,0.11977291318449762
AP,MacroF1,0.3,2,AsyCo,0.2252607079770204,0.21484100590107452,0.23497461073032444,10,0.01676219861367012
AP,MacroF1,0.3,3,ELR,0.2084985093633503,0.19853457078717643,0.2168957939012143,10,0.0027533430589887498
