protocol,method,tau,epoch,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi
A,SCE,0.5,149,10,0.10621083233983335,0.10182683570595383,0.11112986310845052,0.4084149862268709,0.3967029472925884,0.41791875690403807
A,baseline,0.1,0,10,0.028436094987800815,0.019228036918381895,0.03853887869947755,0.1008639443244715,0.07801401643260317,0.12889653202525128
A,baseline,0.1,30,10,0.06530693280244189,0.05607312744239159,0.07471340698491147,0.17408777240436518,0.14812312183049833,0.20434107091281223
A,baseline,0.1,60,10,0.0903222745287617,0.08333229223112172,0.09890959785388384,0.24691124811846618,0.2153440954811508,0.2868396411529235
A,baseline,0.1,90,10,0.10239818617963126,0.09556144785713842,0.10917284268579258,0.32663204460721224,0.30744774253176654,0.34618675442881675
A,baseline,0.1,120,10,0.10593846627836456,0.10011828749016376,0.1117541101328466,0.397588358051399,0.38530115407501797,0.41240447853632306
A,baseline,0.1,149,10,0.11073457624851561,0.1050541711470169,0.11680177059374425,0.44365129098917516,0.4253830608358945,0.4606012166506039
A,baseline,0.2,0,10,0.025315615260753783,0.02007318353435242,0.030334450888507343,0.08406847507179196,0.07871659231977213,0.08930218474451974
A,baseline,0.2,30,10,0.06061108018406721,0.05514476532675877,0.06629985889681775,0.1455136421254612,0.13158730157265366,0.15918642700174668
A,baseline,0.2,60,10,0.0854548996934448,0.07934863214046735,0.09150556751439537,0.23174076640035265,0.21231485750387308,0.25123665587472493
A,baseline,0.2,90,10,0.09797884836054918,0.09292141526203179,0.10286356331322104,0.30328810003827716,0.2833857372843534,0.3251948065992267
A,baseline,0.2,120,10,0.10283656992474074,0.09825203901684816,0.10687015266663873,0.3747119269509933,0.3612341278776327,0.3886550163368355
A,baseline,0.2,149,10,0.10398905443953918,0.09919898519417568,0.10868766265108479,0.4009832290430692,0.38388310157858513,0.4182187434888817
A,baseline,0.3,0,10,0.029273884693143386,0.02305532245461392,0.03618104812648787,0.09174820255266317,0.08344796150090417,0.10047445922560731
A,baseline,0.3,30,10,0.055676839086481834,0.049222932188078425,0.06151638358818378,0.14401717127600253,0.1319595988165823,0.15834041348318387
A,baseline,0.3,60,10,0.078357060344577,0.07443800473388491,0.0820558678428688,0.19895665927925046,0.18500859923480337,0.21473893250256432
A,baseline,0.3,90,10,0.0819021411132355,0.07788465560372279,0.08586648341663944,0.24868003172305886,0.23454085598586386,0.26507266085070486
A,baseline,0.3,120,10,0.08449841328178602,0.08067714949419434,0.08948485072864074,0.3329484029864559,0.31981176915302506,0.34748740400136796
A,baseline,0.3,149,10,0.08748114035950458,0.08527503305179322,0.0895844903651625,0.35546556720006584,0.3434811985162575,0.3666704741061414
A,baseline,0.4,0,10,0.03283542599185853,0.02694184681149267,0.03905587548016636,0.0920696152239904,0.08510093573049723,0.09802043964903379
A,baseline,0.4,30,10,0.054801937305863704,0.05041821461061014,0.05945951544175652,0.14129191796517201,0.1332790754828672,0.14969647119627513
A,baseline,0.4,60,10,0.07075501054077757,0.06706504207292355,0.07455463940960533,0.17651973463174014,0.1667194242259814,0.18605860547471925
A,baseline,0.4,90,10,0.08053279879215883,0.07456398875117112,0.08612477411041138,0.23841132821502703,0.22284712173232749,0.2535508805699244
A,baseline,0.4,120,10,0.08050679312870251,0.07848833758705696,0.0824860534969883,0.2925079602589863,0.28606179403205656,0.3010687456319266
A,baseline,0.4,149,10,0.08292650727702901,0.0808054246357077,0.08529500174323269,0.3183601447137624,0.3111183221044952,0.32626818042838324
A,baseline,0.5,0,10,0.033230903413239817,0.027649166787482415,0.038540262362422376,0.08817114919488575,0.07973170614387637,0.09672994477586412
A,baseline,0.5,30,10,0.049902295386980475,0.04157500292702686,0.05800516627225555,0.1288001270462275,0.1147401075343167,0.14332049371904068
A,baseline,0.5,60,10,0.06782948723904485,0.05945834170530735,0.07823063316346264,0.16232849955979778,0.1526586541613834,0.1719204195788804
A,baseline,0.5,90,10,0.07021327319292532,0.06256627818373474,0.07837881322357347,0.21222436047029106,0.19270488485239295,0.23232254343306735
A,baseline,0.5,120,10,0.07629514317192825,0.07263385071918553,0.08036169281837333,0.27016092344765325,0.25672066546096123,0.28391490170599476
A,baseline,0.5,149,10,0.07579577247779276,0.07201117937196641,0.07904499190085715,0.2901197099053755,0.2823790198543962,0.2975941678838459
AP,AsyCo,0.1,0,10,0.06012641876791362,0.05098942915224663,0.06941769052284714,0.1462194841379041,0.11894811848355444,0.17628730059068823
AP,AsyCo,0.1,30,10,0.15615043461361566,0.14219233886874663,0.17019677043273335,0.33814434364127016,0.3120945424688052,0.3660633491857888
AP,AsyCo,0.1,60,10,0.21704834651607485,0.1978809580941453,0.23772287626638694,0.3251484183041952,0.3075268130443283,0.34559904259281393
AP,AsyCo,0.1,90,10,0.2420179051681992,0.2138424514857499,0.26964101195906226,0.31905007376125727,0.3022177733299766,0.3358559501802446
AP,AsyCo,0.1,120,10,0.25120932349020614,0.22822283853832173,0.2683966217307645,0.3343505386399643,0.30929449150818983,0.3608411405076326
AP,AsyCo,0.1,149,10,0.2320873904307253,0.20304189551177937,0.2567785693138507,0.3115936893822672,0.29606085830780077,0.3262401462668901
AP,AsyCo,0.2,0,10,0.05206641867663575,0.04570142142294699,0.05978682387909817,0.12415906908605649,0.11176254070591754,0.13699315019819996
AP,AsyCo,0.2,30,10,0.14200962067650158,0.13057461191865016,0.1564348958515035,0.3069998057267975,0.28559761402627576,0.32831860314456923
AP,AsyCo,0.2,60,10,0.17984296045782497,0.16783480680064738,0.1924477916528131,0.308885096977806,0.29636991773054977,0.3191712252124531
AP,AsyCo,0.2,90,10,0.19683172430516985,0.18084208964274942,0.2141523622061016,0.3235638536391579,0.3037552391755525,0.34390809114572946
AP,AsyCo,0.2,120,10,0.21768076009687548,0.19962376643313867,0.2373243240381854,0.33129465223254473,0.31949400562528324,0.34324170653467023
AP,AsyCo,0.2,149,10,0.2089294546217685,0.1925646208653014,0.22754202425849704,0.32211014915986913,0.30516779198081906,0.339380451963021
