protocol,method,tau,fold,epoch,nta,lnmr
A,AsyCo,0.3,9,90,0.06809145129224652,0.17395626242544732
A,AsyCo,0.3,9,120,0.09940357852882704,0.24900596421471172
A,AsyCo,0.3,9,149,0.07604373757455268,0.1824055666003976
A,AsyCo,0.4,0,0,0.019325502084122773,0.06858658582796513
A,AsyCo,0.4,0,30,0.10269041303524062,0.15839333080712392
A,AsyCo,0.4,0,60,0.07730200833649109,0.1921182266009852
A,AsyCo,0.4,0,90,0.06820765441455097,0.15536187949981053
A,AsyCo,0.4,0,120,0.07578628268283441,0.16597195907540735
A,AsyCo,0.4,0,149,0.07540735126942023,0.18719211822660098
A,AsyCo,0.4,1,0,0.03938730853391685,0.09445660102115244
A,AsyCo,0.4,1,30,0.1024799416484318,0.23304157549234136
A,AsyCo,0.4,1,60,0.09664478482859226,0.23522975929978118
A,AsyCo,0.4,1,90,0.08570386579139315,0.21480671043034283
A,AsyCo,0.4,1,120,0.0736688548504741,0.1699489423778264
A,AsyCo,0.4,1,149,0.09226841721371262,0.20204230488694383
A,AsyCo,0.4,2,0,0.019465648854961833,0.07595419847328244
A,AsyCo,0.4,2,30,0.08702290076335878,0.2183206106870229
A,AsyCo,0.4,2,60,0.07709923664122137,0.17213740458015267
A,AsyCo,0.4,2,90,0.07633587786259542,0.20267175572519083
A,AsyCo,0.4,2,120,0.08396946564885496,0.1950381679389313
A,AsyCo,0.4,2,149,0.08129770992366413,0.21183206106870228
A,AsyCo,0.4,3,0,0.031411677753141166,0.10051736881005174
A,AsyCo,0.4,3,30,0.09349593495934959,0.20140428677014044
A,AsyCo,0.4,3,60,0.08980044345898004,0.2039911308203991
A,AsyCo,0.4,3,90,0.0861049519586105,0.20879526977087953
A,AsyCo,0.4,3,120,0.09127864005912786,0.2246858832224686
A,AsyCo,0.4,3,149,0.09830007390983,0.26348854397634885
A,AsyCo,0.4,4,0,0.033004552352048556,0.08611532625189681
A,AsyCo,0.4,4,30,0.08839150227617602,0.2090288315629742
A,AsyCo,0.4,4,60,0.09066767830045523,0.2109256449165402
A,AsyCo,0.4,4,90,0.09332321699544764,0.2488619119878604
A,AsyCo,0.4,4,120,0.1035660091047041,0.2473444613050076
A,AsyCo,0.4,4,149,0.09863429438543247,0.22534142640364188
A,AsyCo,0.4,5,0,0.030774935113088618,0.11086392287727104
A,AsyCo,0.4,5,30,0.09454949944382647,0.19836855765665554
A,AsyCo,0.4,5,60,0.09195402298850575,0.21431219873934002
A,AsyCo,0.4,5,90,0.09603262884686689,0.20986281053021877
A,AsyCo,0.4,5,120,0.09269558769002595,0.2135706340378198
A,AsyCo,0.4,5,149,0.08305524657026325,0.19540229885057472
A,AsyCo,0.4,6,0,0.03840472673559823,0.08714918759231906
A,AsyCo,0.4,6,30,0.06425406203840472,0.18057607090103397
A,AsyCo,0.4,6,60,0.06462333825701624,0.20236336779911374
A,AsyCo,0.4,6,90,0.06499261447562776,0.21935007385524372
A,AsyCo,0.4,6,120,0.07385524372230429,0.22156573116691286
A,AsyCo,0.4,6,149,0.07163958641063516,0.2274741506646972
A,AsyCo,0.4,7,0,0.05376751230594472,0.09011737978038621
A,AsyCo,0.4,7,30,0.08784551306323363,0.18023475956077242
A,AsyCo,0.4,7,60,0.09428246876183263,0.18326391518364257
A,AsyCo,0.4,7,90,0.08898144642180993,0.1927300265051117
A,AsyCo,0.4,7,120,0.0836804240817872,0.1643316925407043
A,AsyCo,0.4,7,149,0.10488451344187807,0.19954562665656947
A,AsyCo,0.4,8,0,0.034444444444444444,0.10333333333333333
A,AsyCo,0.4,8,30,0.05703703703703704,0.14925925925925926
A,AsyCo,0.4,8,60,0.06407407407407407,0.17555555555555555
A,AsyCo,0.4,8,90,0.06777777777777778,0.19296296296296298
A,AsyCo,0.4,8,120,0.0662962962962963,0.19037037037037038
A,AsyCo,0.4,8,149,0.06777777777777778,0.2114814814814815
A,AsyCo,0.4,9,0,0.08588498879761015,0.08327109783420462
A,AsyCo,0.4,9,30,0.06982823002240478,0.18259895444361463
A,AsyCo,0.4,9,60,0.06908140403286034,0.17625093353248694
A,AsyCo,0.4,9,90,0.0825242718446602,0.21396564600448095
A,AsyCo,0.4,9,120,0.07281553398058252,0.1941747572815534
A,AsyCo,0.4,9,149,0.07580283793876028,0.21023151605675877
A,AsyCo,0.5,0,0,0.02857142857142857,0.10015037593984963
A,AsyCo,0.5,0,30,0.07157894736842105,0.15669172932330827
A,AsyCo,0.5,0,60,0.06345864661654135,0.16691729323308271
A,AsyCo,0.5,0,90,0.0637593984962406,0.16902255639097744
A,AsyCo,0.5,0,120,0.0637593984962406,0.15909774436090227
