protocol,method,tau,metric,first_epoch,first_value,peak_epoch,peak_value,final_epoch,final_value
A,SCE,0.5,lnmr,0,0.13275723301815906,149,0.4084149862268709,149,0.4084149862268709
A,baseline,0.1,nta,0,0.028436094987800815,149,0.11073457624851561,149,0.11073457624851561
A,baseline,0.1,lnmr,0,0.1008639443244715,149,0.44365129098917516,149,0.44365129098917516
A,baseline,0.2,nta,0,0.025315615260753783,149,0.10398905443953918,149,0.10398905443953918
A,baseline,0.2,lnmr,0,0.08406847507179196,149,0.4009832290430692,149,0.4009832290430692
A,baseline,0.3,nta,0,0.029273884693143386,149,0.08748114035950458,149,0.08748114035950458
A,baseline,0.3,lnmr,0,0.09174820255266317,149,0.35546556720006584,149,0.35546556720006584
A,baseline,0.4,nta,0,0.03283542599185853,149,0.08292650727702901,149,0.08292650727702901
A,baseline,0.4,lnmr,0,0.0920696152239904,149,0.3183601447137624,149,0.3183601447137624
A,baseline,0.5,nta,0,0.033230903413239817,120,0.07629514317192825,149,0.07579577247779276
A,baseline,0.5,lnmr,0,0.08817114919488575,149,0.2901197099053755,149,0.2901197099053755
AP,AsyCo,0.1,nta,0,0.06012641876791362,120,0.25120932349020614,149,0.2320873904307253
AP,AsyCo,0.1,lnmr,0,0.1462194841379041,30,0.33814434364127016,149,0.3115936893822672
AP,AsyCo,0.2,nta,0,0.05206641867663575,120,0.21768076009687548,149,0.2089294546217685
AP,AsyCo,0.2,lnmr,0,0.12415906908605649,120,0.33129465223254473,149,0.32211014915986913
AP,AsyCo,0.3,nta,0,0.06156735110042353,120,0.190954955003369,149,0.1763942655085838
AP,AsyCo,0.3,lnmr,0,0.135184222471139,120,0.31744261394844253,149,0.2977076852915427
AP,AsyCo,0.4,nta,0,0.05452627803615436,149,0.1591534714988539,149,0.1591534714988539
AP,AsyCo,0.4,lnmr,0,0.1247805607926095,90,0.32044905206428353,149,0.31976629720170474
AP,AsyCo,0.5,nta,0,0.05294023501886327,120,0.1611610642335028,149,0.15048652862598
AP,AsyCo,0.5,lnmr,0,0.12510847331054564,120,0.3155047367546251,149,0.29995155804616
AP,ELR,0.1,nta,0,0.057995207072374676,90,0.12272646526404632,149,0.11894925414798499
AP,ELR,0.1,lnmr,0,0.14419085094801037,149,0.6676709434965928,149,0.6676709434965928
AP,ELR,0.2,nta,0,0.05087093945243283,120,0.11999222426988362,149,0.11960716686985214
AP,ELR,0.2,lnmr,0,0.12017508921444524,149,0.6470289372013648,149,0.6470289372013648
AP,ELR,0.3,nta,0,0.059536757217490556,149,0.10819341402247126,149,0.10819341402247126
AP,ELR,0.3,lnmr,0,0.13025239494384996,149,0.5999963898671883,149,0.5999963898671883
AP,ELR,0.4,nta,0,0.04349609515047998,149,0.09878316684490032,149,0.09878316684490032
AP,ELR,0.4,lnmr,0,0.11142034652974256,149,0.5439300024565747,149,0.5439300024565747
AP,ELR,0.5,nta,0,0.05054666204108571,149,0.08700391926393529,149,0.08700391926393529
AP,ELR,0.5,lnmr,0,0.12589641874805244,149,0.49911484917447246,149,0.49911484917447246
AP,SCE,0.1,nta,0,0.13376443160176227,30,0.4677012799427058,149,0.45621243444126336
AP,SCE,0.1,lnmr,0,0.2547485600491888,149,0.4742463287088811,149,0.4742463287088811
AP,SCE,0.2,nta,0,0.07260040501172624,120,0.392115043465233,149,0.3871431169892475
AP,SCE,0.2,lnmr,0,0.19868873999239914,149,0.5021718851633556,149,0.5021718851633556
AP,SCE,0.3,nta,0,0.09246432289625192,149,0.32610592076579153,149,0.32610592076579153
AP,SCE,0.3,lnmr,0,0.2548115491994186,149,0.5134986825727597,149,0.5134986825727597
AP,SCE,0.4,nta,0,0.060300433377260244,120,0.23565771673519142,149,0.23035273312055052
AP,SCE,0.4,lnmr,0,0.15970615429876975,149,0.5335460908924062,149,0.5335460908924062
AP,SCE,0.5,nta,0,0.09037449149583673,149,0.16718690760362648,149,0.16718690760362648
AP,SCE,0.5,lnmr,0,0.20560826447049182,149,0.5499470523692933,149,0.5499470523692933
AP,baseline,0.1,nta,0,0.05664909983391422,120,0.12149245575565129,149,0.11942386904412483
AP,baseline,0.1,lnmr,0,0.13994406786742303,149,0.6930969105237256,149,0.6930969105237256
AP,baseline,0.2,nta,0,0.061273589157391006,149,0.11605336431217209,149,0.11605336431217209
AP,baseline,0.2,lnmr,0,0.1418099276215355,149,0.6625335167439205,149,0.6625335167439205
AP,baseline,0.3,nta,0,0.0552679687321319,149,0.1092809262051313,149,0.1092809262051313
AP,baseline,0.3,lnmr,0,0.12831916413336067,149,0.6198144231055635,149,0.6198144231055635
AP,baseline,0.4,nta,0,0.05062464208719453,149,0.1024024040084289,149,0.1024024040084289
AP,baseline,0.4,lnmr,0,0.140090522367896,149,0.5703172762678367,149,0.5703172762678367
