method,tau,epoch,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,n
elr,0.5,90,0.082247325115582,0.07972764760875493,0.08503474050924842,0.39387630473346025,0.374581769664515,0.41501104320301013,10
elr,0.5,120,0.08627025921117333,0.08311961303926915,0.08862358452113903,0.47528081008597656,0.4549457758477739,0.49658050189140157,10
elr,0.5,149,0.08700391926393529,0.08455864069352606,0.08910968069821958,0.49911484917447246,0.4822955129866919,0.5173016489323431,10
sce,0.1,0,0.13376443160176227,0.09682304469859239,0.17495440362507053,0.2547485600491888,0.1953062893593789,0.3161308796533834,10
sce,0.1,30,0.4677012799427058,0.4183227820818466,0.503011070270818,0.2838675522941756,0.2690872156317925,0.29880657972110813,10
sce,0.1,60,0.421656094656491,0.3729626946011431,0.4674018397498932,0.3361460994676654,0.3201322815516914,0.3535378787792172,10
sce,0.1,90,0.46530158271061606,0.44416580847034304,0.486240510893659,0.40777634501729343,0.39385763785037475,0.42133413811753645,10
sce,0.1,120,0.4598887055551068,0.4452541806867646,0.4723230000147053,0.45739297347859476,0.44721841488456293,0.46748344287347576,10
sce,0.1,149,0.45621243444126336,0.44027801192159505,0.47023805749004516,0.4742463287088811,0.45960225824027745,0.4902997330615658,10
sce,0.2,0,0.07260040501172624,0.058679919499482515,0.08591026123909595,0.19868873999239914,0.13714291304174858,0.2665773228159669,10
sce,0.2,30,0.3668889527809301,0.29597037386810904,0.43727853198698524,0.2875573975321978,0.2687651351059865,0.3096671400016171,10
sce,0.2,60,0.3869764092845974,0.3417873892425525,0.4309039345650582,0.3408910577778826,0.3157199163401165,0.3688777535142652,10
sce,0.2,90,0.3868672224739221,0.36356157511162107,0.408872045856068,0.42551860104195416,0.4026235906826701,0.45082797919686196,10
sce,0.2,120,0.392115043465233,0.3645152263216348,0.4163330009270191,0.481633187327761,0.4648950779737757,0.503604713109736,10
sce,0.2,149,0.3871431169892475,0.37210672781364834,0.40279679156355674,0.5021718851633556,0.4891006126585874,0.5159758204975183,10
sce,0.3,0,0.09246432289625192,0.07469058757077894,0.1107175735185034,0.2548115491994186,0.1980260582459853,0.31363637664096455,10
sce,0.3,30,0.2639180782354992,0.20701166333349655,0.3266117538020466,0.3229828714492925,0.28912480950282404,0.3614148367066829,10
sce,0.3,60,0.2738041376991229,0.23121182536821974,0.3193238989771105,0.35818732188072117,0.32437333395743523,0.39707536233131696,10
sce,0.3,90,0.31482414634094275,0.2854962701454737,0.34503841590049816,0.42597049592373953,0.40306260183343945,0.4515320779188605,10
sce,0.3,120,0.31617488120055637,0.2979247469704349,0.33363890608170227,0.49247429031419154,0.47097558562282277,0.5162637087017506,10
sce,0.3,149,0.32610592076579153,0.3107683050416294,0.34299500604587796,0.5134986825727597,0.4993344191560348,0.5269901476969022,10
sce,0.4,0,0.060300433377260244,0.04639043582731047,0.07443068641902105,0.15970615429876975,0.12248531713492015,0.19931602773938717,10
sce,0.4,30,0.16856678120783863,0.1328304321391269,0.20897780605955538,0.3133405137855071,0.2819545937116222,0.3432859740451496,10
sce,0.4,60,0.17918533373394002,0.14891923481947178,0.2137465697363455,0.38415972796584197,0.36728927283198015,0.4004659079276463,10
sce,0.4,90,0.2306625106721754,0.20361162933798596,0.25832943562988564,0.43517526304479237,0.41118242081623974,0.4603880218200823,10
sce,0.4,120,0.23565771673519142,0.2140192323314036,0.2549664903883718,0.5157196332197055,0.4943012770457859,0.5361538906075216,10
sce,0.4,149,0.23035273312055052,0.21350230502895445,0.2455845638340403,0.5335460908924062,0.5173201540476875,0.5499966448063979,10
sce,0.5,0,0.09037449149583673,0.05910209677213205,0.13592815308632797,0.20560826447049182,0.14078484612027817,0.2783618151588973,10
