protocol,method,tau,true_class,pred_class,count,rate
S,baseline,0.4,vasc,akiec,3.0,0.030612244897959183
S,baseline,0.4,vasc,vasc,80.0,0.8163265306122449
S,baseline,0.4,vasc,df,5.0,0.05102040816326531
S,baseline,0.4,df,nv,0.0,0.0
S,baseline,0.4,df,bkl,0.0,0.0
S,baseline,0.4,df,mel,0.0,0.0
S,baseline,0.4,df,bcc,7.0,0.0958904109589041
S,baseline,0.4,df,akiec,11.0,0.1506849315068493
S,baseline,0.4,df,vasc,3.0,0.0410958904109589
S,baseline,0.4,df,df,52.0,0.7123287671232876
S,baseline,0.5,nv,nv,5.0,0.0009254118082546734
S,baseline,0.5,nv,bkl,313.0,0.05793077919674255
S,baseline,0.5,nv,mel,630.0,0.11660188784008883
S,baseline,0.5,nv,bcc,601.0,0.11123449935221173
S,baseline,0.5,nv,akiec,751.0,0.13899685359985192
S,baseline,0.5,nv,vasc,1871.0,0.3462890986488988
S,baseline,0.5,nv,df,1232.0,0.2280214695539515
S,baseline,0.5,bkl,nv,0.0,0.0
S,baseline,0.5,bkl,bkl,115.0,0.15818431911966988
S,baseline,0.5,bkl,mel,26.0,0.03576341127922971
S,baseline,0.5,bkl,bcc,132.0,0.1815680880330124
S,baseline,0.5,bkl,akiec,308.0,0.4236588720770289
S,baseline,0.5,bkl,vasc,33.0,0.0453920220082531
S,baseline,0.5,bkl,df,113.0,0.15543328748280605
S,baseline,0.5,mel,nv,0.0,0.0
S,baseline,0.5,mel,bkl,69.0,0.11237785016286644
S,baseline,0.5,mel,mel,96.0,0.1563517915309446
S,baseline,0.5,mel,bcc,90.0,0.1465798045602606
S,baseline,0.5,mel,akiec,269.0,0.4381107491856677
S,baseline,0.5,mel,vasc,34.0,0.05537459283387622
S,baseline,0.5,mel,df,56.0,0.09120521172638436
S,baseline,0.5,bcc,nv,0.0,0.0
S,baseline,0.5,bcc,bkl,1.0,0.0030581039755351682
S,baseline,0.5,bcc,mel,0.0,0.0
S,baseline,0.5,bcc,bcc,209.0,0.6391437308868502
S,baseline,0.5,bcc,akiec,73.0,0.22324159021406728
S,baseline,0.5,bcc,vasc,17.0,0.05198776758409786
S,baseline,0.5,bcc,df,27.0,0.08256880733944955
S,baseline,0.5,akiec,nv,0.0,0.0
S,baseline,0.5,akiec,bkl,1.0,0.0043859649122807015
S,baseline,0.5,akiec,mel,0.0,0.0
S,baseline,0.5,akiec,bcc,42.0,0.18421052631578946
S,baseline,0.5,akiec,akiec,162.0,0.7105263157894737
S,baseline,0.5,akiec,vasc,0.0,0.0
S,baseline,0.5,akiec,df,23.0,0.10087719298245613
S,baseline,0.5,vasc,nv,0.0,0.0
S,baseline,0.5,vasc,bkl,0.0,0.0
S,baseline,0.5,vasc,mel,1.0,0.01020408163265306
S,baseline,0.5,vasc,bcc,6.0,0.061224489795918366
S,baseline,0.5,vasc,akiec,2.0,0.02040816326530612
S,baseline,0.5,vasc,vasc,83.0,0.8469387755102041
S,baseline,0.5,vasc,df,6.0,0.061224489795918366
S,baseline,0.5,df,nv,0.0,0.0
S,baseline,0.5,df,bkl,1.0,0.0136986301369863
S,baseline,0.5,df,mel,0.0,0.0
S,baseline,0.5,df,bcc,12.0,0.1643835616438356
S,baseline,0.5,df,akiec,11.0,0.1506849315068493
S,baseline,0.5,df,vasc,2.0,0.0273972602739726
S,baseline,0.5,df,df,47.0,0.6438356164383562
S,SCE,0.0,nv,nv,4168.0,0.7714232833610957
S,SCE,0.0,nv,bkl,243.0,0.044975013881177126
S,SCE,0.0,nv,mel,725.0,0.13418471219692762
S,SCE,0.0,nv,bcc,101.0,0.018693318526744402
S,SCE,0.0,nv,akiec,81.0,0.014991671293725709
