protocol,diagnostic,method,tau,class_name,value
S,perclass_nta,SCE,0.1,vasc,0.43583863848569726
S,perclass_nta,SCE,0.1,df,0.5413888888888888
S,perclass_nta,ELR,0.1,nv,0.0
S,perclass_nta,ELR,0.1,bkl,0.24265705484613065
S,perclass_nta,ELR,0.1,mel,0.463013552799199
S,perclass_nta,ELR,0.1,bcc,0.42639402405519344
S,perclass_nta,ELR,0.1,akiec,0.6534070866676676
S,perclass_nta,ELR,0.1,vasc,0.4644100670571259
S,perclass_nta,ELR,0.1,df,0.6216666666666666
S,perclass_nta,AsyCo,0.1,nv,0.008837535014005601
S,perclass_nta,AsyCo,0.1,bkl,0.12631437100572013
S,perclass_nta,AsyCo,0.1,mel,0.4110649795687921
S,perclass_nta,AsyCo,0.1,bcc,0.396708358704346
S,perclass_nta,AsyCo,0.1,akiec,0.6036070762785968
S,perclass_nta,AsyCo,0.1,vasc,0.8800700280112045
S,perclass_nta,AsyCo,0.1,df,0.7908333333333333
S,perclass_nta,baseline,0.2,nv,0.0
S,perclass_nta,baseline,0.2,bkl,0.24987171882795983
S,perclass_nta,baseline,0.2,mel,0.3761028431178999
S,perclass_nta,baseline,0.2,bcc,0.43859596221693564
S,perclass_nta,baseline,0.2,akiec,0.5858227473760207
S,perclass_nta,baseline,0.2,vasc,0.4994087535159685
S,perclass_nta,baseline,0.2,df,0.5574436592818944
S,perclass_nta,SCE,0.2,nv,0.3397155403178494
S,perclass_nta,SCE,0.2,bkl,0.336918795973674
S,perclass_nta,SCE,0.2,mel,0.4649086900281529
S,perclass_nta,SCE,0.2,bcc,0.42110316448313645
S,perclass_nta,SCE,0.2,akiec,0.4248687773155039
S,perclass_nta,SCE,0.2,vasc,0.4712383728541691
S,perclass_nta,SCE,0.2,df,0.5481522154316272
S,perclass_nta,ELR,0.2,nv,0.0
S,perclass_nta,ELR,0.2,bkl,0.20013325507586627
S,perclass_nta,ELR,0.2,mel,0.40374815127693137
S,perclass_nta,ELR,0.2,bcc,0.4421146379096765
S,perclass_nta,ELR,0.2,akiec,0.6158713872256876
S,perclass_nta,ELR,0.2,vasc,0.5317665300292505
S,perclass_nta,ELR,0.2,df,0.5956359816653934
S,perclass_nta,AsyCo,0.2,nv,0.00258124377635637
S,perclass_nta,AsyCo,0.2,bkl,0.11591954594106675
S,perclass_nta,AsyCo,0.2,mel,0.38541049919741954
S,perclass_nta,AsyCo,0.2,bcc,0.4033457175140819
S,perclass_nta,AsyCo,0.2,akiec,0.7761573540315517
S,perclass_nta,AsyCo,0.2,vasc,0.9122066488685483
S,perclass_nta,AsyCo,0.2,df,0.6041921313980138
S,perclass_nta,baseline,0.3,nv,0.0
S,perclass_nta,baseline,0.3,bkl,0.2261117157626918
S,perclass_nta,baseline,0.3,mel,0.2810069938698101
S,perclass_nta,baseline,0.3,bcc,0.413710876528446
S,perclass_nta,baseline,0.3,akiec,0.6177216023711427
S,perclass_nta,baseline,0.3,vasc,0.559712072101601
S,perclass_nta,baseline,0.3,df,0.6109851143009037
S,perclass_nta,SCE,0.3,nv,0.2563693274597733
S,perclass_nta,SCE,0.3,bkl,0.32814161982846585
S,perclass_nta,SCE,0.3,mel,0.41267532505423
S,perclass_nta,SCE,0.3,bcc,0.42175522917526076
S,perclass_nta,SCE,0.3,akiec,0.47296078994663737
S,perclass_nta,SCE,0.3,vasc,0.5256589352807691
S,perclass_nta,SCE,0.3,df,0.5412428799270905
S,perclass_nta,ELR,0.3,nv,0.0
S,perclass_nta,ELR,0.3,bkl,0.1729593060077829
S,perclass_nta,ELR,0.3,mel,0.2768667485565338
S,perclass_nta,ELR,0.3,bcc,0.43207815973629565
S,perclass_nta,ELR,0.3,akiec,0.617551068321391
S,perclass_nta,ELR,0.3,vasc,0.5905014761611811
S,perclass_nta,ELR,0.3,df,0.616386268702058
S,perclass_nta,AsyCo,0.3,nv,0.0002766923160074671
S,perclass_nta,AsyCo,0.3,bkl,0.0635020449023777
S,perclass_nta,AsyCo,0.3,mel,0.35734646853685403
S,perclass_nta,AsyCo,0.3,bcc,0.3661960701287595
S,perclass_nta,AsyCo,0.3,akiec,0.8099926260462098
S,perclass_nta,AsyCo,0.3,vasc,0.9126697395782088
S,perclass_nta,AsyCo,0.3,df,0.5502336902863219
S,perclass_nta,baseline,0.4,nv,0.00010217530306786894
S,perclass_nta,baseline,0.4,bkl,0.17399742307640043
S,perclass_nta,baseline,0.4,mel,0.2042163200658324
S,perclass_nta,baseline,0.4,bcc,0.4626805009097355
S,perclass_nta,baseline,0.4,akiec,0.6342752639574882
S,perclass_nta,baseline,0.4,vasc,0.5986657387534403
S,perclass_nta,baseline,0.4,df,0.5259047989681824
