protocol,method,tau,true_class,pred_class,delta_rate
A,baseline,0.2,mel,vasc,0.014657980456026058
A,baseline,0.2,mel,df,0.03583061889250815
A,baseline,0.2,bcc,nv,0.0
A,baseline,0.2,bcc,bkl,-0.01834862385321101
A,baseline,0.2,bcc,mel,-0.012232415902140675
A,baseline,0.2,bcc,bcc,0.012232415902140636
A,baseline,0.2,bcc,akiec,0.0
A,baseline,0.2,bcc,vasc,0.009174311926605505
A,baseline,0.2,bcc,df,0.009174311926605505
A,baseline,0.2,akiec,nv,0.0
A,baseline,0.2,akiec,bkl,-0.03508771929824561
A,baseline,0.2,akiec,mel,-0.05263157894736842
A,baseline,0.2,akiec,bcc,0.02192982456140352
A,baseline,0.2,akiec,akiec,0.013157894736842035
A,baseline,0.2,akiec,vasc,0.017543859649122806
A,baseline,0.2,akiec,df,0.03508771929824561
A,baseline,0.2,vasc,nv,0.0
A,baseline,0.2,vasc,bkl,0.01020408163265306
A,baseline,0.2,vasc,mel,-0.02040816326530612
A,baseline,0.2,vasc,bcc,0.09183673469387754
A,baseline,0.2,vasc,akiec,0.02040816326530612
A,baseline,0.2,vasc,vasc,-0.12244897959183676
A,baseline,0.2,vasc,df,0.02040816326530612
A,baseline,0.2,df,nv,0.0
A,baseline,0.2,df,bkl,-0.0136986301369863
A,baseline,0.2,df,mel,-0.0273972602739726
A,baseline,0.2,df,bcc,-0.0684931506849315
A,baseline,0.2,df,akiec,0.0684931506849315
A,baseline,0.2,df,vasc,0.0410958904109589
A,baseline,0.2,df,df,0.0
A,SCE,0.2,nv,nv,-0.4453081621321488
A,SCE,0.2,nv,bkl,0.010734776975754208
A,SCE,0.2,nv,mel,0.052933555432167295
A,SCE,0.2,nv,bcc,0.0405330372015547
A,SCE,0.2,nv,akiec,0.036831389968535994
A,SCE,0.2,nv,vasc,0.1623172311678697
A,SCE,0.2,nv,df,0.1419581713862669
A,SCE,0.2,bkl,nv,-0.046767537826685
A,SCE,0.2,bkl,bkl,-0.11416781292984873
A,SCE,0.2,bkl,mel,-0.04951856946354885
A,SCE,0.2,bkl,bcc,0.030261348005502064
A,SCE,0.2,bkl,akiec,0.11416781292984868
A,SCE,0.2,bkl,vasc,0.01237964236588721
A,SCE,0.2,bkl,df,0.05364511691884457
A,SCE,0.2,mel,nv,-0.05211726384364821
A,SCE,0.2,mel,bkl,0.030944625407166124
A,SCE,0.2,mel,mel,-0.13355048859934848
A,SCE,0.2,mel,bcc,0.035830618892508145
A,SCE,0.2,mel,akiec,0.08469055374592833
A,SCE,0.2,mel,vasc,0.011400651465798044
A,SCE,0.2,mel,df,0.02280130293159609
A,SCE,0.2,bcc,nv,-0.0030581039755351682
A,SCE,0.2,bcc,bkl,-0.012232415902140671
A,SCE,0.2,bcc,mel,-0.01834862385321101
A,SCE,0.2,bcc,bcc,-0.03669724770642202
A,SCE,0.2,bcc,akiec,0.04281345565749234
A,SCE,0.2,bcc,vasc,0.003058103975535168
A,SCE,0.2,bcc,df,0.024464831804281342
A,SCE,0.2,akiec,nv,-0.008771929824561403
A,SCE,0.2,akiec,bkl,-0.07894736842105263
A,SCE,0.2,akiec,mel,-0.07894736842105263
