protocol,method,tau,fold,nta,lnmr,residual
AP,AsyCo,0.3,5,0.1551288529560384,0.2860030318342597,0.5588681152097019
AP,AsyCo,0.3,6,0.1420872121509064,0.2944634982851543,0.5634492895639394
AP,AsyCo,0.3,7,0.1981132075471698,0.3073485600794439,0.49453823237338634
AP,AsyCo,0.3,8,0.2138930534732633,0.2918540729635182,0.49425287356321856
AP,AsyCo,0.3,9,0.1416500994035785,0.2987077534791252,0.5596421471172963
AP,AsyCo,0.4,0,0.1568776051534672,0.3296703296703296,0.5134520651762032
AP,AsyCo,0.4,1,0.12509117432531,0.3344274252370532,0.5404814004376368
AP,AsyCo,0.4,2,0.2202290076335878,0.3244274809160305,0.4553435114503817
AP,AsyCo,0.4,3,0.1559497413155949,0.3543976348854397,0.4896526237989654
AP,AsyCo,0.4,4,0.139226100151745,0.3213201820940819,0.5394537177541732
AP,AsyCo,0.4,5,0.1742677048572488,0.3025583982202447,0.5231738969225066
AP,AsyCo,0.4,6,0.1580502215657311,0.3183161004431314,0.5236336779911375
AP,AsyCo,0.4,7,0.1503218477849299,0.30367285119273,0.54600530102234
AP,AsyCo,0.4,8,0.1248148148148148,0.3381481481481481,0.5370370370370371
AP,AsyCo,0.4,9,0.186706497386109,0.2707244212098581,0.5425690814040329
AP,AsyCo,0.5,0,0.1296240601503759,0.3236090225563909,0.5467669172932332
AP,AsyCo,0.5,1,0.1496499416569428,0.323220536756126,0.5271295215869312
AP,AsyCo,0.5,2,0.1296518607442977,0.2241896758703481,0.6461584633853542
AP,AsyCo,0.5,3,0.1406064209274673,0.3231272294887039,0.5362663495838287
AP,AsyCo,0.5,4,0.2023416391474032,0.2842990093065146,0.5133593515460821
AP,AsyCo,0.5,5,0.1620178041543026,0.3228486646884273,0.5151335311572701
AP,AsyCo,0.5,6,0.1617386162034299,0.28622117090479,0.5520402128917801
AP,AsyCo,0.5,7,0.1654044229021508,0.30990608906392,0.5246894880339292
AP,AsyCo,0.5,8,0.1188769414575866,0.2897252090800478,0.5913978494623657
AP,AsyCo,0.5,9,0.144953578915843,0.3123689727463312,0.5426774483378258
AP,ELR,0.0,0,,,
AP,ELR,0.0,1,,,
AP,ELR,0.0,2,,,
AP,ELR,0.0,3,,,
AP,ELR,0.0,4,,,
AP,ELR,0.0,5,,,
AP,ELR,0.0,6,,,
AP,ELR,0.0,7,,,
AP,ELR,0.0,8,,,
AP,ELR,0.0,9,,,
AP,ELR,0.1,0,0.1191588785046729,0.5619158878504673,0.3189252336448598
AP,ELR,0.1,1,0.1126760563380281,0.7053990610328639,0.181924882629108
AP,ELR,0.1,2,0.1107266435986159,0.720876585928489,0.16839677047289503
AP,ELR,0.1,3,0.1298701298701298,0.7072018890200709,0.16292798110979934
AP,ELR,0.1,4,0.1304878048780487,0.6634146341463415,0.20609756097560983
AP,ELR,0.1,5,0.1128266033254156,0.6852731591448931,0.20190023752969133
AP,ELR,0.1,6,0.1123853211009174,0.6685779816513762,0.21903669724770647
AP,ELR,0.1,7,0.1272727272727272,0.6431818181818182,0.2295454545454546
AP,ELR,0.1,8,0.1092342342342342,0.6779279279279279,0.21283783783783794
AP,ELR,0.1,9,0.1248541423570595,0.6429404900816803,0.2322053675612602
AP,ELR,0.2,0,0.1241923905240488,0.6453697056712132,0.23043790380473794
AP,ELR,0.2,1,0.1208633093525179,0.6194244604316547,0.25971223021582746
AP,ELR,0.2,2,0.1145533141210374,0.6585014409221902,0.22694524495677237
AP,ELR,0.2,3,0.1210332103321033,0.6523985239852399,0.22656826568265676
AP,ELR,0.2,4,0.1283582089552238,0.6723880597014925,0.19925373134328372
AP,ELR,0.2,5,0.1269258987527513,0.677916360968452,0.19515774027879673
AP,ELR,0.2,6,0.1143674052894924,0.6447462473195139,0.24088634739099368
AP,ELR,0.2,7,0.1181494661921708,0.6270462633451958,0.25480427046263343
AP,ELR,0.2,8,0.1070402298850574,0.6688218390804598,0.22413793103448276
AP,ELR,0.2,9,0.1205882352941176,0.6036764705882353,0.2757352941176472
AP,ELR,0.3,0,0.1074055909759686,0.6051986267778323,0.2873957822461991
AP,ELR,0.3,1,0.1067442988840368,0.5749636098981077,0.3182920912178555
AP,ELR,0.3,2,0.107429718875502,0.6164658634538153,0.2761044176706827
AP,ELR,0.3,3,0.1088669950738916,0.6187192118226601,0.27241379310344827
AP,ELR,0.3,4,0.1154430379746835,0.5974683544303797,0.2870886075949368
AP,ELR,0.3,5,0.1086407276402223,0.6093986862051541,0.2819605861546236
AP,ELR,0.3,6,0.1033806957373836,0.5972562469377756,0.2993630573248408
AP,ELR,0.3,7,0.1072492552135054,0.5918570009930486,0.300893743793446
AP,ELR,0.3,8,0.104447776111944,0.5942028985507246,0.3013493253373314
AP,ELR,0.3,9,0.1123260437375745,0.5944333996023857,0.2932405566600398
AP,ELR,0.4,0,0.1129215611974232,0.563849943160288,0.3232284956422887
AP,ELR,0.4,1,0.0988329686360321,0.5565280816921955,0.34463894967177244
AP,ELR,0.4,2,0.1019083969465648,0.565267175572519,0.3328244274809161
AP,ELR,0.4,3,0.0931263858093126,0.5624538063562454,0.34441980783444204
AP,ELR,0.4,4,0.094081942336874,0.5557663125948407,0.3501517450682854
AP,ELR,0.4,5,0.0997404523544679,0.5472747497219133,0.3529847979236188
AP,ELR,0.4,6,0.0945347119645494,0.5520679468242246,0.353397341211226
AP,ELR,0.4,7,0.104884513441878,0.539568345323741,0.355547141234381
AP,ELR,0.4,8,0.094074074074074,0.5140740740740741,0.3918518518518519
AP,ELR,0.4,9,0.0937266616878267,0.4824495892457057,0.4238237490664676
AP,ELR,0.5,0,0.0875187969924812,0.5043609022556391,0.40812030075187966
AP,ELR,0.5,1,0.0843057176196032,0.5026254375729288,0.4130688448074681
AP,ELR,0.5,2,0.0903361344537815,0.5423169267707083,0.36734693877551017
AP,ELR,0.5,3,0.0873959571938168,0.5083234244946492,0.40428061831153406
AP,ELR,0.5,4,0.0912638847193035,0.5064545181627139,0.4022815971179826
AP,ELR,0.5,5,0.0896142433234421,0.5486646884272997,0.3617210682492582
AP,ELR,0.5,6,0.0875221762270845,0.4745712596096984,0.4379065641632171
AP,ELR,0.5,7,0.090578612541654,0.4625870948197516,0.4468342926385944
AP,ELR,0.5,8,0.0821385902031063,0.4650537634408602,0.4528076463560335
AP,ELR,0.5,9,0.0793650793650793,0.4761904761904761,0.4444444444444446
AP,SCE,0.0,0,,,
AP,SCE,0.0,1,,,
AP,SCE,0.0,2,,,
AP,SCE,0.0,3,,,
AP,SCE,0.0,4,,,
AP,SCE,0.0,5,,,
AP,SCE,0.0,6,,,
AP,SCE,0.0,7,,,
AP,SCE,0.0,8,,,
AP,SCE,0.0,9,,,
AP,SCE,0.1,0,0.4661214953271028,0.4357476635514019,0.09813084112149534
AP,SCE,0.1,1,0.4683098591549295,0.4776995305164319,0.05399061032863861
AP,SCE,0.1,2,0.4036908881199538,0.5305651672433679,0.06574394463667832
AP,SCE,0.1,3,0.4793388429752066,0.4569067296340023,0.06375442739079112
AP,SCE,0.1,4,0.4621951219512195,0.4621951219512195,0.07560975609756104
AP,SCE,0.1,5,0.4204275534441805,0.4964370546318289,0.08313539192399061
AP,SCE,0.1,6,0.4690366972477064,0.4621559633027522,0.06880733944954132
AP,SCE,0.1,7,0.4443181818181818,0.4886363636363636,0.06704545454545457
AP,SCE,0.1,8,0.4831081081081081,0.4572072072072072,0.059684684684684686
AP,SCE,0.1,9,0.4655775962660443,0.4749124854142357,0.05950991831972008
AP,SCE,0.2,0,0.3948312993539124,0.5025125628140703,0.10265613783201721
AP,SCE,0.2,1,0.3848920863309352,0.5014388489208633,0.11366906474820149
AP,SCE,0.2,2,0.3912103746397694,0.4927953890489913,0.11599423631123934
AP,SCE,0.2,3,0.3712177121771218,0.5313653136531366,0.0974169741697416
AP,SCE,0.2,4,0.3992537313432835,0.4977611940298507,0.10298507462686574
AP,SCE,0.2,5,0.3587674247982392,0.5363169479090242,0.10491562729273662
AP,SCE,0.2,6,0.3945675482487491,0.4846318799142244,0.12080057183702642
AP,SCE,0.2,7,0.393594306049822,0.4725978647686832,0.13380782918149486
AP,SCE,0.2,8,0.3433908045977011,0.5272988505747126,0.1293103448275863
AP,SCE,0.2,9,0.4397058823529411,0.475,0.08529411764705885
AP,SCE,0.3,0,0.3006375674350172,0.5355566454144188,0.16380578715056393
