metric,tau,method_a,method_b,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
MacroAUC,0.1,ELR,AsyCo,10,-0.0035138459354796315,-0.016879330456714265,0.01579001591051398,16.0,0.275390625,0.791015625,-0.4181818181818182,-1,10000,True,-0.0035138459354796315,0.275390625,0.275390625,0.791015625,n.s.,n.s.,True,,0.275390625
MacroAUC,0.2,baseline,SCE,10,-0.027657912385133897,-0.032959112810944005,-0.02195340719736006,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.027657912385133897,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.2,baseline,ELR,10,0.016179577662380384,0.011048311677455845,0.021993143547857138,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.016179577662380384,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,baseline,AsyCo,10,0.00943626108483513,-0.005317811723393857,0.026153717421208766,17.0,0.322265625,0.322265625,0.38181818181818183,1,10000,True,0.00943626108483513,0.322265625,0.322265625,0.64453125,n.s.,n.s.,True,,0.322265625
MacroAUC,0.2,SCE,ELR,10,0.043837490047514284,0.03691679710203231,0.04974526100184074,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.043837490047514284,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,SCE,AsyCo,10,0.03709417346996903,0.02359267421813557,0.052612589228949624,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03709417346996903,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.2,ELR,AsyCo,10,-0.006743316577545256,-0.019280974596185767,0.0073202108259482574,12.0,0.130859375,0.375,-0.5636363636363637,-1,10000,True,-0.006743316577545256,0.130859375,0.26171875,0.64453125,n.s.,n.s.,True,,0.26171875
MacroAUC,0.3,baseline,SCE,10,-0.031993009557234484,-0.042680679104945544,-0.02153207789901228,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.031993009557234484,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.3,baseline,ELR,10,0.008747015356506104,-0.0017661303372632194,0.01894260242620649,12.0,0.130859375,0.15234375,0.5636363636363637,1,10000,True,0.008747015356506104,0.130859375,0.130859375,0.15234375,n.s.,n.s.,True,,0.130859375
MacroAUC,0.3,baseline,AsyCo,10,-0.01538170552655086,-0.025641418768176428,-0.0037098418946778316,7.0,0.037109375,0.037109375,-0.7454545454545455,-1,10000,True,-0.01538170552655086,0.037109375,0.07421875,0.07421875,n.s.,n.s.,True,,0.07421875
MacroAUC,0.3,SCE,ELR,10,0.04074002491374059,0.033612819497088,0.047876153232998445,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04074002491374059,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.3,SCE,AsyCo,10,0.016611304030683626,0.006576974218573648,0.026528590160754557,5.0,0.01953125,0.017578125,0.8181818181818181,1,10000,True,0.016611304030683626,0.01953125,0.05859375,0.052734375,n.s.,n.s.,True,,0.05859375
MacroAUC,0.3,ELR,AsyCo,10,-0.024128720883056964,-0.03365257914195119,-0.014713488116727404,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.024128720883056964,0.00390625,0.015625,0.015625,-*,-*,True,,0.015625
MacroAUC,0.4,baseline,SCE,10,-0.013359441643390113,-0.017812986869378225,-0.008870015755338762,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.013359441643390113,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.4,baseline,ELR,10,0.01930222803114101,0.015088433269904732,0.02371238825202551,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01930222803114101,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.4,baseline,AsyCo,10,-0.017411696306583624,-0.023491047926455694,-0.011702190394355749,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.017411696306583624,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.4,SCE,ELR,10,0.03266166967453112,0.025764437187483866,0.04008436048595948,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03266166967453112,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.4,SCE,AsyCo,10,-0.0040522546631935105,-0.012178840138753673,0.00420527796768055,17.0,0.322265625,0.3671875,-0.38181818181818183,-1,10000,True,-0.0040522546631935105,0.322265625,0.322265625,0.3671875,n.s.,n.s.,True,,0.322265625
MacroAUC,0.4,ELR,AsyCo,10,-0.036713924337724635,-0.042177483610049936,-0.03170151166095362,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.036713924337724635,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.5,baseline,SCE,10,-0.019068292455673107,-0.03392727347512158,-0.0067809744676664,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,-0.019068292455673107,0.013671875,0.029296875,0.0234375,-*,-*,True,,0.029296875
MacroAUC,0.5,baseline,ELR,10,0.017228759917326485,0.008879450885708148,0.025007008970632436,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.017228759917326485,0.009765625,0.029296875,0.0234375,+*,+*,True,,0.029296875
MacroAUC,0.5,baseline,AsyCo,10,-0.02486609537645188,-0.03564311988203053,-0.014409310343282185,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.02486609537645188,0.00390625,0.015625,0.015625,-*,-*,True,,0.015625
MacroAUC,0.5,SCE,ELR,10,0.03629705237299959,0.02676025156365677,0.04657921059906065,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03629705237299959,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.5,SCE,AsyCo,10,-0.005797802920778772,-0.014328677038196102,0.003129052177819201,15.0,0.232421875,0.24609375,-0.4545454545454546,-1,10000,True,-0.005797802920778772,0.232421875,0.232421875,0.24609375,n.s.,n.s.,True,,0.232421875
MacroAUC,0.5,ELR,AsyCo,10,-0.04209485529377836,-0.050395880806802275,-0.031834690988786996,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.04209485529377836,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
